"3","false"
"101","218","false"
"100","324","true"
"97","426","false"
"201","422","true"
"198","313","false"
"201","229","true"
"322","221","false"
"313","319","true"
"309","425","false"
"306","525","true"
"197","525","false"
"416","531","false"
"412","409","true"
"408","311","false"
"406","232","true"
"402","100","false"
"316","99","true"
"192","94","false"
"522","224","false"
"522","318","true"
"523","423","false"
"511","534","false"
"521","110","false"
"100","104","false"
"107","524","false"
